,gmat,gpa,work_experience,admitted
0,780,4.0,3,1
1,750,3.9,4,1
2,690,3.3,3,1
3,710,3.7,5,1
4,680,3.9,4,1
5,730,3.7,6,1
6,690,2.3,1,0
7,720,3.3,4,1
8,740,3.3,5,1
9,690,1.7,1,0
10,610,2.7,3,0
11,690,3.7,5,1
12,710,3.7,6,1
13,680,3.3,4,1
14,770,3.3,3,1
15,610,3.0,1,0
16,580,2.7,4,0
17,650,3.7,6,1
18,540,2.7,2,0
19,590,2.3,3,0
20,620,3.3,2,0
21,600,2.0,1,0
22,550,2.3,4,0
23,550,2.7,1,0
24,570,3.0,2,0
25,670,3.3,6,1
26,660,3.7,4,1
27,580,2.3,2,0
28,650,3.7,6,1
29,660,3.3,5,1
30,640,3.0,1,0
31,620,2.7,2,0
32,660,4.0,4,1
33,660,3.3,6,1
34,680,3.3,5,1
35,650,2.3,1,0
36,670,2.7,2,0
37,580,3.3,1,0
38,590,1.7,4,0
39,690,3.7,5,1
